,MATICUSDT,STXUSDT,Spread,ZScore
0,0.8021,0.219,-0.00600999999999996,
1,0.8022,0.218,-0.0022199999999999998,
2,0.8032,0.219,-0.00490999999999997,
3,0.8032,0.219,-0.00490999999999997,
4,0.8015,0.219,-0.006610000000000005,
5,0.8006,0.218,-0.0038200000000000456,
6,0.8007,0.219,-0.007410000000000028,
7,0.8011,0.219,-0.007009999999999961,
8,0.8061,0.219,-0.0020099999999999563,
9,0.8142,0.22,0.0024000000000000687,
10,0.8053,0.218,0.0008799999999999919,
11,0.8051,0.218,0.0006800000000000139,
12,0.8068,0.218,0.0023799999999999377,
13,0.8082,0.219,9.00000000000345e-05,
14,0.8214,0.221,0.005909999999999971,
15,0.8157,0.221,0.00020999999999993246,
16,0.8195,0.223,-0.003369999999999984,
17,0.8407,0.227,0.003070000000000017,
18,0.8444,0.227,0.006770000000000054,
19,0.8501,0.229,0.005089999999999928,
20,0.8538,0.229,0.008789999999999965,1.9390737559808384
21,0.8567,0.229,0.011689999999999978,2.1351285230030594
22,0.8608,0.23,0.0121,1.889594841167316
23,0.8558,0.228,0.014479999999999937,1.9603633919135512
24,0.8528,0.228,0.011479999999999935,1.3454575891006324
25,0.8561,0.23,0.007399999999999962,0.649640947284657
26,0.8558,0.23,0.007099999999999995,0.5335360567684898
27,0.8622,0.232,0.006119999999999903,0.29434596935436347
28,0.8606,0.232,0.0045199999999999685,-0.10597932590502832
29,0.8598,0.231,0.007410000000000028,0.4159881679050143
30,0.864,0.231,0.01161000000000001,1.196118190778065
31,0.8575,0.231,0.005110000000000059,-0.22000931020380485
32,0.8652,0.233,0.005429999999999935,-0.2071748604389934
33,0.8664,0.232,0.010319999999999885,0.8098684813415361
34,0.8702,0.236,-0.0006399999999999739,-1.6336883339299668
35,0.871,0.237,-0.003529999999999922,-1.949507345865165
36,0.8587,0.235,-0.008449999999999958,-2.451631212550584
37,0.851,0.235,-0.016149999999999998,-2.9227809184512195
38,0.8429,0.23,-0.005800000000000027,-1.3786766419630732
39,0.8422,0.23,-0.006500000000000061,-1.324381669542112
40,0.8444,0.231,-0.007989999999999942,-1.3610579313833455
41,0.8426,0.23,-0.006099999999999994,-1.0348280439979083
42,0.8539,0.233,-0.005870000000000042,-0.9166900160135923
43,0.8478,0.231,-0.004589999999999983,-0.6921449549031901
44,0.8415,0.228,0.00017999999999995797,-0.044415018170682205
45,0.8471,0.229,0.0020899999999999253,0.27150225230011926
46,0.8503,0.231,-0.0020900000000000363,-0.23778979298125483
47,0.85,0.232,-0.006080000000000085,-0.7141554344434867
48,0.8489,0.231,-0.003489999999999993,-0.2928782577160029
49,0.8463,0.232,-0.009780000000000011,-1.0878206062824343
50,0.8507,0.234,-0.012759999999999994,-1.3737397990053253
51,0.8494,0.233,-0.01036999999999999,-0.9825187357786468
52,0.8496,0.233,-0.010170000000000012,-0.8694998125541732
53,0.844,0.233,-0.015770000000000062,-1.6328064619930263
54,0.839,0.231,-0.013390000000000013,-1.2751224537619867
55,0.8411,0.23,-0.007600000000000051,-0.05364553073755185
56,0.8479,0.232,-0.008180000000000076,-0.13073075328806782
57,0.8479,0.233,-0.011870000000000047,-0.8636046105034623
58,0.8458,0.232,-0.010280000000000067,-0.6379651687152535
59,0.8477,0.236,-0.02313999999999994,-2.6629906876553444
60,0.8546,0.239,-0.027309999999999945,-2.602034380281953
61,0.8559,0.237,-0.018629999999999924,-1.226935972527704
62,0.8576,0.237,-0.01692999999999989,-0.9061748737347468
63,0.8582,0.239,-0.02371000000000001,-1.609667599898096
64,0.8544,0.236,-0.0164399999999999,-0.612100054842051
65,0.8583,0.236,-0.012539999999999996,-0.03219234474520636
66,0.8593,0.237,-0.015229999999999966,-0.32426159749543276
67,0.8587,0.234,-0.0047599999999999865,1.356066934109116
68,0.8515,0.232,-0.0045800000000000285,1.353148040507826
69,0.8516,0.232,-0.0044800000000000395,1.3920827962560347
70,0.8512,0.232,-0.0048800000000001065,1.2474194318297003
71,0.8551,0.233,-0.004670000000000063,1.175444790839795
72,0.862,0.233,0.0022299999999999542,1.9022402885402054
73,0.8608,0.233,0.0010299999999999754,1.5625301497562605
74,0.8595,0.232,0.0034199999999999786,1.6324106006380688
75,0.8646,0.233,0.004830000000000001,1.5845158021386692
