,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
809,SNXUSDT,ICXUSDT,0.03,-3.58,-3.37,11.07,13
935,SXPUSDT,KSMUSDT,0.0,-4.31,-3.37,0.01,13
1185,ZENUSDT,ACHUSDT,0.0,-4.23,-3.37,1092.28,13
788,SNXUSDT,CREAMUSDT,0.05,-3.37,-3.37,0.16,13
1011,TRXUSDT,AAVEUSDT,0.04,-3.41,-3.37,0.0,13
785,SNXUSDT,CELRUSDT,0.03,-3.51,-3.37,158.21,13
685,SCUSDT,XNOUSDT,0.04,-3.41,-3.37,0.0,13
859,SUNUSDT,BELUSDT,0.0,-4.92,-3.37,0.01,13
748,SHIB1000USDT,DUSKUSDT,0.04,-3.38,-3.37,0.1,13
1165,WOOUSDT,CREAMUSDT,0.01,-3.81,-3.37,0.01,13
772,SNXUSDT,AGLDUSDT,0.03,-3.48,-3.37,6.44,13
972,TRBUSDT,ENJUSDT,0.0,-5.21,-3.37,45.04,13
763,SHIB1000USDT,LPTUSDT,0.04,-3.4,-3.37,0.0,13
1018,TRXUSDT,AUDIOUSDT,0.05,-3.37,-3.37,0.34,13
1225,ZILUSDT,ZENUSDT,0.03,-3.56,-3.37,0.0,13
426,GALAUSDT,ADAUSDT,0.04,-3.43,-3.37,0.13,13
536,REQUSDT,FLOWUSDT,0.01,-3.77,-3.37,0.1,13
325,CKBUSDT,CHRUSDT,0.01,-3.87,-3.37,0.02,13
508,LUNA2USDT,BOBAUSDT,0.04,-3.47,-3.37,8.59,13
240,BAKEUSDT,1000LUNCUSDT,0.0,-4.56,-3.37,0.92,13
519,ONTUSDT,1000BTTUSDT,0.03,-3.51,-3.37,264.29,13
66,1000XECUSDT,ALPHAUSDT,0.0,-4.61,-3.37,0.29,13
344,CKBUSDT,ENSUSDT,0.0,-4.36,-3.37,0.0,13
526,PEOPLEUSDT,BOBAUSDT,0.04,-3.41,-3.37,0.13,13
354,CKBUSDT,FXSUSDT,0.0,-4.68,-3.37,0.0,13
529,REQUSDT,AGLDUSDT,0.02,-3.73,-3.37,0.32,13
160,ADAUSDT,FLOWUSDT,0.01,-3.91,-3.37,0.37,13
47,10000NFTUSDT,STXUSDT,0.03,-3.59,-3.37,0.02,13
259,C98USDT,10000NFTUSDT,0.04,-3.38,-3.37,44.77,13
48,10000NFTUSDT,SUSHIUSDT,0.0,-4.66,-3.37,0.0,13
586,RUNEUSDT,MATICUSDT,0.01,-3.89,-3.37,1.72,13
368,CKBUSDT,INJUSDT,0.0,-4.34,-3.37,0.0,13
207,ANTUSDT,AAVEUSDT,0.01,-3.97,-3.37,0.04,13
541,REQUSDT,REEFUSDT,0.02,-3.65,-3.37,34.48,13
581,RUNEUSDT,GTCUSDT,0.03,-3.5,-3.37,1.04,13
393,CKBUSDT,OCEANUSDT,0.0,-4.53,-3.37,0.01,13
478,LRCUSDT,ACHUSDT,0.03,-3.51,-3.37,27.57,13
555,RUNEUSDT,1INCHUSDT,0.05,-3.37,-3.37,3.48,13
563,RUNEUSDT,BALUSDT,0.0,-4.16,-3.37,0.26,13
607,SANDUSDT,HNTUSDT,0.01,-3.92,-3.37,0.25,13
599,SANDUSDT,CREAMUSDT,0.01,-4.0,-3.37,0.05,13
299,CKBUSDT,ANTUSDT,0.02,-3.67,-3.37,0.0,13
313,CKBUSDT,BELUSDT,0.0,-4.5,-3.37,0.01,13
294,CKBUSDT,AGLDUSDT,0.0,-4.48,-3.37,0.01,13
295,CKBUSDT,AKROUSDT,0.0,-4.43,-3.37,0.97,13
634,SCUSDT,AAVEUSDT,0.03,-3.52,-3.37,0.0,13
629,SCRTUSDT,DUSKUSDT,0.0,-4.26,-3.37,7.51,13
640,SCUSDT,ASTRUSDT,0.01,-3.82,-3.37,0.06,13
286,CHZUSDT,1000LUNCUSDT,0.03,-3.55,-3.37,0.74,13
283,CELRUSDT,ACHUSDT,0.01,-3.81,-3.37,1.39,13
638,SCUSDT,ALPHAUSDT,0.01,-4.07,-3.37,0.03,13
6,10000NFTUSDT,ARUSDT,0.0,-4.61,-3.37,0.0,13
431,GALUSDT,ACHUSDT,0.01,-3.85,-3.37,157.22,13
437,IMXUSDT,1000LUNCUSDT,0.01,-4.04,-3.37,3.03,13
487,LTCUSDT,COTIUSDT,0.04,-3.38,-3.37,1252.4,13
260,C98USDT,1000BTTUSDT,0.0,-4.75,-3.37,287.07,13
466,LINAUSDT,AUDIOUSDT,0.0,-4.28,-3.37,0.04,13
425,GALAUSDT,ACHUSDT,0.01,-3.9,-3.37,4.94,13
216,APEUSDT,GMXUSDT,0.05,-3.37,-3.37,0.1,12
122,ADAUSDT,BALUSDT,0.02,-3.74,-3.37,0.05,12
179,ADAUSDT,JSTUSDT,0.04,-3.46,-3.37,14.92,12
109,ADAUSDT,ALGOUSDT,0.01,-3.77,-3.37,1.54,12
192,ADAUSDT,MATICUSDT,0.01,-3.9,-3.37,0.36,12
166,ADAUSDT,GRTUSDT,0.01,-4.09,-3.37,4.39,12
188,ADAUSDT,LPTUSDT,0.01,-3.99,-3.37,0.06,12
495,LTCUSDT,MASKUSDT,0.04,-3.38,-3.37,30.74,12
132,ADAUSDT,BTCUSDT,0.01,-3.93,-3.37,0.0,12
1029,TRXUSDT,CROUSDT,0.0,-4.32,-3.37,0.85,12
175,ADAUSDT,IOSTUSDT,0.03,-3.48,-3.37,39.34,12
152,ADAUSDT,EGLDUSDT,0.0,-4.17,-3.37,0.01,12
382,CKBUSDT,LOOKSUSDT,0.0,-4.81,-3.37,0.02,12
334,CKBUSDT,DARUSDT,0.0,-4.21,-3.37,0.02,12
916,SXPUSDT,BTCUSDT,0.04,-3.44,-3.37,0.0,12
1189,ZENUSDT,BLZUSDT,0.0,-4.11,-3.37,158.68,12
350,CKBUSDT,FITFIUSDT,0.0,-4.4,-3.37,0.12,12
1077,UNIUSDT,DUSKUSDT,0.03,-3.51,-3.37,63.1,12
99,1INCHUSDT,1000LUNCUSDT,0.03,-3.58,-3.37,2.64,11
392,CKBUSDT,NEOUSDT,0.01,-3.99,-3.37,0.0,11
866,SUNUSDT,DARUSDT,0.01,-3.81,-3.37,0.04,11
173,ADAUSDT,IMXUSDT,0.01,-4.06,-3.37,0.64,11
769,SNXUSDT,1000BTTUSDT,0.01,-3.77,-3.37,2786.48,11
793,SNXUSDT,DODOUSDT,0.01,-3.78,-3.37,17.38,11
395,CKBUSDT,OMGUSDT,0.01,-4.06,-3.37,0.0,11
794,SNXUSDT,EGLDUSDT,0.04,-3.42,-3.37,0.05,11
537,REQUSDT,GMXUSDT,0.01,-4.0,-3.37,0.0,11
768,SLPUSDT,ARUSDT,0.02,-3.62,-3.37,0.0,11
1145,WAVESUSDT,FILUSDT,0.01,-3.81,-3.37,0.46,11
449,JSTUSDT,AAVEUSDT,0.01,-3.98,-3.37,0.0,11
432,HOTUSDT,1000BTTUSDT,0.01,-3.99,-3.37,2.48,11
131,ADAUSDT,BSWUSDT,0.03,-3.56,-3.37,1.75,11
814,SNXUSDT,KDAUSDT,0.0,-4.39,-3.37,1.88,11
499,LTCUSDT,PAXGUSDT,0.02,-3.72,-3.37,0.04,11
497,LTCUSDT,MKRUSDT,0.02,-3.7,-3.37,0.13,11
559,RUNEUSDT,AKROUSDT,0.01,-3.93,-3.37,486.21,11
374,CKBUSDT,KDAUSDT,0.0,-4.36,-3.37,0.0,11
1017,TRXUSDT,ASTRUSDT,0.02,-3.65,-3.37,1.36,11
915,SXPUSDT,BOBAUSDT,0.01,-3.99,-3.37,1.26,11
872,SUNUSDT,GLMRUSDT,0.01,-3.79,-3.37,0.01,11
342,CKBUSDT,EGLDUSDT,0.0,-4.25,-3.37,0.0,11
244,BALUSDT,1000BTTUSDT,0.0,-4.68,-3.37,8872.07,11
1009,TRBUSDT,RUNEUSDT,0.01,-3.78,-3.37,8.99,11
683,SCUSDT,TLMUSDT,0.02,-3.7,-3.37,0.18,11
605,SANDUSDT,GRTUSDT,0.0,-4.78,-3.37,7.63,11
1203,ZENUSDT,RNDRUSDT,0.03,-3.55,-3.37,19.18,11
29,10000NFTUSDT,HBARUSDT,0.04,-3.42,-3.37,0.09,11
611,SANDUSDT,KNCUSDT,0.02,-3.75,-3.37,0.94,11
21,10000NFTUSDT,ENSUSDT,0.0,-4.69,-3.37,0.0,11
997,TRBUSDT,LUNA2USDT,0.0,-4.46,-3.37,8.44,11
264,C98USDT,ACHUSDT,0.0,-4.24,-3.37,22.69,11
959,TRBUSDT,CELRUSDT,0.02,-3.71,-3.37,1172.65,11
995,TRBUSDT,LPTUSDT,0.0,-5.77,-3.37,2.65,11
965,TRBUSDT,CVCUSDT,0.03,-3.5,-3.37,157.36,11
624,SANDUSDT,ZENUSDT,0.0,-4.3,-3.37,0.06,11
288,CKBUSDT,1000BTTUSDT,0.0,-4.64,-3.37,4.6,11
293,CKBUSDT,ACHUSDT,0.0,-4.25,-3.37,0.36,11
654,SCUSDT,FLOWUSDT,0.0,-6.13,-3.37,0.0,11
598,SANDUSDT,CELRUSDT,0.04,-3.46,-3.37,47.77,11
476,LRCUSDT,1INCHUSDT,0.01,-3.9,-3.37,0.53,11
45,10000NFTUSDT,SKLUSDT,0.03,-3.56,-3.37,0.17,11
1175,WOOUSDT,LUNA2USDT,0.0,-4.4,-3.37,0.1,11
40,10000NFTUSDT,REEFUSDT,0.04,-3.38,-3.37,1.6,11
566,RUNEUSDT,BOBAUSDT,0.0,-4.11,-3.37,8.11,11
355,CKBUSDT,GALAUSDT,0.01,-3.85,-3.37,0.07,11
909,SXPUSDT,AUDIOUSDT,0.01,-3.84,-3.37,1.44,11
1180,WOOUSDT,SNXUSDT,0.03,-3.55,-3.37,0.09,11
727,SHIB1000USDT,AXSUSDT,0.04,-3.47,-3.37,0.0,11
372,CKBUSDT,JSTUSDT,0.0,-4.34,-3.37,0.14,11
375,CKBUSDT,KLAYUSDT,0.01,-3.81,-3.37,0.02,11
215,APEUSDT,GALAUSDT,0.05,-3.37,-3.37,113.01,11
876,SUNUSDT,IOSTUSDT,0.01,-3.89,-3.37,0.64,11
878,SUNUSDT,LPTUSDT,0.04,-3.4,-3.37,0.0,11
1037,TRXUSDT,GLMRUSDT,0.04,-3.41,-3.37,0.16,11
438,IMXUSDT,AAVEUSDT,0.03,-3.54,-3.37,0.01,10
146,ADAUSDT,DGBUSDT,0.03,-3.53,-3.37,35.79,10
181,ADAUSDT,KDAUSDT,0.01,-3.82,-3.37,0.33,10
792,SNXUSDT,DENTUSDT,0.01,-3.88,-3.37,2440.34,10
184,ADAUSDT,KSMUSDT,0.01,-3.88,-3.37,0.01,10
367,CKBUSDT,IMXUSDT,0.0,-4.46,-3.37,0.01,10
373,CKBUSDT,KAVAUSDT,0.02,-3.74,-3.37,0.0,10
316,CKBUSDT,BLZUSDT,0.0,-4.49,-3.37,0.05,10
144,ADAUSDT,DARUSDT,0.0,-4.49,-3.37,2.34,10
116,ADAUSDT,ARPAUSDT,0.01,-3.89,-3.37,10.84,10
163,ADAUSDT,GLMRUSDT,0.01,-3.99,-3.37,0.91,10
124,ADAUSDT,BATUSDT,0.01,-4.06,-3.37,1.59,10
126,ADAUSDT,BELUSDT,0.0,-4.32,-3.37,0.71,10
147,ADAUSDT,DODOUSDT,0.01,-3.94,-3.37,3.02,10
383,CKBUSDT,LPTUSDT,0.0,-4.25,-3.37,0.0,10
329,CKBUSDT,CREAMUSDT,0.0,-4.39,-3.37,0.0,10
1222,ZILUSDT,SANDUSDT,0.03,-3.48,-3.37,0.04,10
741,SHIB1000USDT,CREAMUSDT,0.02,-3.6,-3.37,0.0,10
494,LTCUSDT,LINKUSDT,0.03,-3.49,-3.37,13.18,10
1166,WOOUSDT,CROUSDT,0.04,-3.46,-3.37,2.51,10
1119,USDCUSDT,LRCUSDT,0.01,-4.1,-3.37,4.2,9
52,10000NFTUSDT,VETUSDT,0.01,-3.77,-3.37,0.23,9
1190,ZENUSDT,BOBAUSDT,0.01,-3.79,-3.37,48.81,9
697,SFPUSDT,ENJUSDT,0.03,-3.49,-3.37,1.37,9
234,AUDIOUSDT,ACHUSDT,0.01,-4.08,-3.37,19.48,9
232,AUDIOUSDT,1000LUNCUSDT,0.03,-3.56,-3.37,0.99,9
231,AUDIOUSDT,1000BTTUSDT,0.03,-3.5,-3.37,246.44,9
902,SXPUSDT,AKROUSDT,0.02,-3.6,-3.37,75.25,9
44,10000NFTUSDT,RSRUSDT,0.02,-3.6,-3.37,1.23,9
898,SXPUSDT,AAVEUSDT,0.04,-3.4,-3.37,0.0,9
46,10000NFTUSDT,STORJUSDT,0.0,-4.21,-3.37,0.01,9
709,SFPUSDT,SNXUSDT,0.01,-4.06,-3.37,0.23,9
584,RUNEUSDT,INJUSDT,0.0,-4.35,-3.37,1.03,9
370,CKBUSDT,IOTAUSDT,0.0,-4.38,-3.37,0.02,9
33,10000NFTUSDT,KDAUSDT,0.0,-4.15,-3.37,0.0,9
717,SHIB1000USDT,AKROUSDT,0.04,-3.46,-3.37,2.96,9
58,10000NFTUSDT,YGGUSDT,0.04,-3.43,-3.37,0.02,9
60,1000XECUSDT,1000BTTUSDT,0.03,-3.55,-3.37,39.83,9
1050,TWTUSDT,1INCHUSDT,0.04,-3.45,-3.37,3.34,9
105,ADAUSDT,AAVEUSDT,0.01,-3.96,-3.37,0.0,9
389,CKBUSDT,MKRUSDT,0.03,-3.54,-3.37,0.0,9
857,SUNUSDT,BALUSDT,0.01,-3.97,-3.37,0.0,9
543,REQUSDT,RSRUSDT,0.03,-3.48,-3.37,26.46,9
849,SUNUSDT,AAVEUSDT,0.02,-3.6,-3.37,0.0,9
1151,WAVESUSDT,JASMYUSDT,0.0,-5.72,-3.37,424.32,9
600,SANDUSDT,CROUSDT,0.04,-3.39,-3.37,8.41,9
340,CKBUSDT,DUSKUSDT,0.0,-4.23,-3.37,0.03,9
535,REQUSDT,EGLDUSDT,0.03,-3.53,-3.37,0.0,9
1210,ZILUSDT,CREAMUSDT,0.04,-3.43,-3.37,0.0,9
979,TRBUSDT,FTMUSDT,0.02,-3.67,-3.37,50.76,9
637,SCUSDT,ALICEUSDT,0.03,-3.49,-3.37,0.0,9
287,CKBUSDT,10000NFTUSDT,0.0,-4.53,-3.37,0.72,9
623,SANDUSDT,XTZUSDT,0.03,-3.48,-3.37,0.64,9
301,CKBUSDT,API3USDT,0.0,-4.23,-3.37,0.0,9
622,SANDUSDT,WAVESUSDT,0.02,-3.74,-3.37,0.31,9
281,CELRUSDT,1INCHUSDT,0.0,-4.52,-3.37,0.03,9
990,TRBUSDT,JASMYUSDT,0.03,-3.59,-3.37,3254.51,9
991,TRBUSDT,JSTUSDT,0.01,-4.01,-3.37,637.5,9
308,CKBUSDT,BAKEUSDT,0.01,-4.0,-3.37,0.02,9
12,10000NFTUSDT,CEEKUSDT,0.04,-3.44,-3.37,0.05,9
673,SCUSDT,NEARUSDT,0.03,-3.52,-3.37,0.0,9
929,SXPUSDT,HBARUSDT,0.0,-4.25,-3.37,5.12,9
953,TRBUSDT,ASTRUSDT,0.03,-3.58,-3.37,331.52,9
317,CKBUSDT,BNBUSDT,0.01,-3.85,-3.37,0.0,9
262,C98USDT,1INCHUSDT,0.0,-4.69,-3.37,0.44,9
25,10000NFTUSDT,FLOWUSDT,0.04,-3.43,-3.37,0.0,9
258,BTCUSDT,ACHUSDT,0.0,-4.22,-3.37,2184441.53,9
326,CKBUSDT,CHZUSDT,0.0,-4.31,-3.37,0.02,9
1006,TRBUSDT,RNDRUSDT,0.02,-3.76,-3.37,28.68,9
328,CKBUSDT,COTIUSDT,0.0,-4.11,-3.37,0.05,9
242,BAKEUSDT,AAVEUSDT,0.03,-3.53,-3.37,0.0,9
688,SFPUSDT,ALICEUSDT,0.02,-3.65,-3.37,0.32,9
1015,TRXUSDT,AKROUSDT,0.01,-4.09,-3.37,17.96,9
1147,WAVESUSDT,GMTUSDT,0.02,-3.63,-3.37,4.89,9
576,RUNEUSDT,ETHWUSDT,0.01,-3.77,-3.37,0.44,9
1129,USDCUSDT,STXUSDT,0.03,-3.57,-3.37,4.07,9
812,SNXUSDT,JASMYUSDT,0.0,-4.67,-3.37,439.36,9
498,LTCUSDT,MTLUSDT,0.04,-3.39,-3.37,105.72,9
1122,USDCUSDT,OGNUSDT,0.04,-3.47,-3.37,9.5,9
1093,UNIUSDT,YFIUSDT,0.03,-3.48,-3.37,0.0,9
806,SNXUSDT,HNTUSDT,0.0,-5.39,-3.37,0.81,9
135,ADAUSDT,CELRUSDT,0.03,-3.48,-3.37,27.43,9
418,ETHUSDT,AAVEUSDT,0.02,-3.72,-3.37,20.77,9
419,ETHUSDT,ACHUSDT,0.0,-4.26,-3.37,164300.76,9
290,CKBUSDT,1000XECUSDT,0.0,-4.56,-3.37,0.12,9
1094,USDCUSDT,1INCHUSDT,0.04,-3.41,-3.37,2.22,9
767,SLPUSDT,1INCHUSDT,0.05,-3.37,-3.37,0.01,9
813,SNXUSDT,JSTUSDT,0.04,-3.46,-3.37,85.96,9
815,SNXUSDT,KNCUSDT,0.01,-3.84,-3.37,3.11,9
1144,WAVESUSDT,CVCUSDT,0.0,-4.52,-3.37,20.45,9
453,KSMUSDT,1000BTTUSDT,0.0,-6.24,-3.37,41371.87,9
840,STGUSDT,1000LUNCUSDT,0.0,-4.5,-3.37,2.42,9
406,DASHUSDT,ANKRUSDT,0.03,-3.52,-3.37,2375.36,9
353,CKBUSDT,FTMUSDT,0.0,-4.47,-3.37,0.01,8
303,CKBUSDT,ARPAUSDT,0.0,-4.41,-3.37,0.1,8
133,ADAUSDT,C98USDT,0.01,-4.08,-3.37,1.68,8
379,CKBUSDT,LINAUSDT,0.01,-3.9,-3.37,0.53,8
1025,TRXUSDT,BTCUSDT,0.0,-4.44,-3.37,0.0,8
119,ADAUSDT,AUDIOUSDT,0.03,-3.55,-3.37,1.96,8
305,CKBUSDT,AUDIOUSDT,0.0,-4.51,-3.37,0.02,8
141,ADAUSDT,CROUSDT,0.01,-3.95,-3.37,4.83,8
174,ADAUSDT,INJUSDT,0.01,-4.03,-3.37,0.22,8
523,PEOPLEUSDT,ALICEUSDT,0.01,-3.94,-3.37,0.02,8
322,CKBUSDT,CEEKUSDT,0.01,-3.96,-3.37,0.03,8
120,ADAUSDT,AXSUSDT,0.0,-4.48,-3.37,0.04,8
822,SNXUSDT,OGNUSDT,0.0,-4.12,-3.37,18.05,8
177,ADAUSDT,IOTXUSDT,0.04,-3.44,-3.37,12.55,8
489,LTCUSDT,DOGEUSDT,0.03,-3.48,-3.37,1047.9,7
351,CKBUSDT,FLMUSDT,0.0,-4.43,-3.37,0.04,7
43,10000NFTUSDT,ROSEUSDT,0.0,-4.56,-3.37,0.1,7
701,SFPUSDT,IOTXUSDT,0.01,-3.93,-3.37,16.3,7
235,AVAXUSDT,ILVUSDT,0.04,-3.42,-3.37,0.3,7
357,CKBUSDT,GLMRUSDT,0.0,-4.11,-3.37,0.01,7
358,CKBUSDT,GMXUSDT,0.0,-4.82,-3.37,0.0,7
1021,TRXUSDT,BALUSDT,0.01,-3.79,-3.37,0.01,7
291,CKBUSDT,1INCHUSDT,0.0,-4.26,-3.37,0.01,7
34,10000NFTUSDT,LPTUSDT,0.02,-3.66,-3.37,0.0,7
1130,USDCUSDT,TRBUSDT,0.03,-3.52,-3.37,0.07,7
620,SANDUSDT,STXUSDT,0.03,-3.55,-3.37,2.33,7
309,CKBUSDT,BALUSDT,0.0,-4.63,-3.37,0.0,7
268,CELOUSDT,FXSUSDT,0.01,-3.97,-3.37,0.09,7
621,SANDUSDT,SUSHIUSDT,0.0,-4.9,-3.37,0.49,7
492,LTCUSDT,ILVUSDT,0.01,-3.78,-3.37,1.72,7
947,TRBUSDT,ALICEUSDT,0.0,-4.69,-3.37,10.62,7
1112,USDCUSDT,ICXUSDT,0.03,-3.49,-3.37,5.82,7
247,BANDUSDT,1000LUNCUSDT,0.01,-3.79,-3.37,10.0,7
430,GALUSDT,1000LUNCUSDT,0.04,-3.47,-3.37,7.97,7
686,SCUSDT,XTZUSDT,0.01,-4.05,-3.37,0.0,7
775,SNXUSDT,ALPHAUSDT,0.0,-4.25,-3.37,20.58,7
1198,ZENUSDT,HNTUSDT,0.0,-4.27,-3.37,4.01,7
338,CKBUSDT,DOGEUSDT,0.02,-3.64,-3.37,0.04,7
904,SXPUSDT,ALPHAUSDT,0.04,-3.38,-3.37,2.62,7
1131,USDCUSDT,UNFIUSDT,0.04,-3.47,-3.37,0.23,7
1016,TRXUSDT,ALICEUSDT,0.02,-3.67,-3.37,0.04,7
773,SNXUSDT,ALGOUSDT,0.01,-4.07,-3.37,8.89,7
593,SANDUSDT,ALICEUSDT,0.0,-4.37,-3.37,0.43,7
360,CKBUSDT,GTCUSDT,0.0,-4.35,-3.37,0.0,7
178,ADAUSDT,JASMYUSDT,0.04,-3.46,-3.37,76.08,7
877,SUNUSDT,KSMUSDT,0.0,-4.33,-3.37,0.0,7
725,SHIB1000USDT,ASTRUSDT,0.02,-3.62,-3.37,0.22,7
570,RUNEUSDT,CTSIUSDT,0.02,-3.76,-3.37,13.14,7
874,SUNUSDT,HOTUSDT,0.01,-3.83,-3.37,3.19,7
454,KSMUSDT,1000LUNCUSDT,0.02,-3.75,-3.37,165.71,7
870,SUNUSDT,ETHUSDT,0.01,-3.84,-3.37,0.0,7
111,ADAUSDT,ALPHAUSDT,0.01,-4.02,-3.37,3.57,7
75,1000XECUSDT,EOSUSDT,0.02,-3.68,-3.37,0.03,7
385,CKBUSDT,LUNA2USDT,0.0,-4.41,-3.37,0.0,7
574,RUNEUSDT,EGLDUSDT,0.0,-4.62,-3.37,0.04,7
862,SUNUSDT,CELRUSDT,0.03,-3.55,-3.37,0.45,7
1114,USDCUSDT,INJUSDT,0.05,-3.38,-3.37,0.66,7
1156,WAVESUSDT,MANAUSDT,0.04,-3.47,-3.37,3.76,7
853,SUNUSDT,ALPHAUSDT,0.02,-3.73,-3.37,0.06,7
1058,TWTUSDT,ANTUSDT,0.0,-5.07,-3.37,0.61,7
1154,WAVESUSDT,LPTUSDT,0.03,-3.48,-3.37,0.34,7
1059,UNIUSDT,AAVEUSDT,0.02,-3.72,-3.37,0.09,7
841,STMXUSDT,1000BTTUSDT,0.05,-3.37,-3.37,6.52,7
572,RUNEUSDT,DODOUSDT,0.0,-4.35,-3.37,14.33,7
1049,TWTUSDT,1000XECUSDT,0.04,-3.44,-3.37,55.3,7
575,RUNEUSDT,ENSUSDT,0.0,-4.57,-3.37,0.12,7
9,10000NFTUSDT,BATUSDT,0.01,-3.84,-3.37,0.02,7
229,ARPAUSDT,AAVEUSDT,0.01,-3.82,-3.37,0.0,7
1123,USDCUSDT,PEOPLEUSDT,0.02,-3.73,-3.37,40.96,7
706,SFPUSDT,RENUSDT,0.02,-3.64,-3.37,5.89,7
475,LRCUSDT,10000NFTUSDT,0.04,-3.39,-3.37,54.39,7
1043,TRXUSDT,NEARUSDT,0.03,-3.48,-3.37,0.03,7
500,LTCUSDT,SCRTUSDT,0.02,-3.7,-3.37,115.83,7
1133,USDCUSDT,XEMUSDT,0.04,-3.43,-3.37,30.31,7
311,CKBUSDT,BATUSDT,0.0,-4.11,-3.37,0.02,7
577,RUNEUSDT,FLMUSDT,0.02,-3.66,-3.37,18.09,7
56,10000NFTUSDT,XTZUSDT,0.01,-4.03,-3.37,0.0,7
201,ALPHAUSDT,1000BTTUSDT,0.0,-5.11,-3.37,135.15,7
57,10000NFTUSDT,YFIUSDT,0.0,-4.94,-3.37,0.0,7
384,CKBUSDT,LRCUSDT,0.0,-4.25,-3.37,0.01,6
292,CKBUSDT,AAVEUSDT,0.0,-4.56,-3.37,0.0,6
117,ADAUSDT,ARUSDT,0.02,-3.65,-3.37,0.04,6
318,CKBUSDT,BNXUSDT,0.01,-3.92,-3.37,0.0,6
356,CKBUSDT,GALUSDT,0.0,-4.25,-3.37,0.0,6
369,CKBUSDT,IOSTUSDT,0.0,-4.32,-3.37,0.37,6
321,CKBUSDT,C98USDT,0.0,-4.45,-3.37,0.02,6
390,CKBUSDT,MTLUSDT,0.0,-4.16,-3.37,0.0,6
1216,ZILUSDT,HNTUSDT,0.03,-3.51,-3.37,0.01,6
336,CKBUSDT,DGBUSDT,0.0,-4.57,-3.37,0.34,6
335,CKBUSDT,DENTUSDT,0.0,-4.75,-3.37,4.03,6
387,CKBUSDT,MATICUSDT,0.0,-4.29,-3.37,0.0,6
1220,ZILUSDT,MANAUSDT,0.03,-3.56,-3.37,0.05,5
1108,USDCUSDT,FXSUSDT,0.0,-4.13,-3.37,0.15,5
1107,USDCUSDT,FITFIUSDT,0.01,-3.86,-3.37,38.02,5
280,CELRUSDT,10000NFTUSDT,0.02,-3.7,-3.37,2.74,5
1128,USDCUSDT,STORJUSDT,0.04,-3.39,-3.37,3.32,5
1120,USDCUSDT,LUNA2USDT,0.0,-4.12,-3.37,0.6,5
153,ADAUSDT,ENJUSDT,0.04,-3.45,-3.37,1.05,5
18,10000NFTUSDT,DOTUSDT,0.03,-3.48,-3.37,0.0,5
1132,USDCUSDT,WOOUSDT,0.0,-4.25,-3.37,5.82,5
1143,WAVESUSDT,CROUSDT,0.04,-3.41,-3.37,26.8,5
1142,WAVESUSDT,CREAMUSDT,0.01,-3.81,-3.37,0.15,5
1160,WOOUSDT,APTUSDT,0.01,-3.98,-3.37,0.03,5
1118,USDCUSDT,LPTUSDT,0.04,-3.38,-3.37,0.19,5
1140,WAVESUSDT,CELUSDT,0.01,-3.83,-3.37,3.19,5
1137,WAVESUSDT,ASTRUSDT,0.02,-3.76,-3.37,42.8,5
1036,TRXUSDT,FTMUSDT,0.01,-3.85,-3.37,0.21,5
1087,UNIUSDT,OPUSDT,0.01,-3.93,-3.37,4.18,5
161,ADAUSDT,FTMUSDT,0.02,-3.75,-3.37,1.19,5
1187,ZENUSDT,ASTRUSDT,0.0,-4.51,-3.37,221.6,5
1103,USDCUSDT,DARUSDT,0.03,-3.5,-3.37,7.1,5
1023,TRXUSDT,BNBUSDT,0.0,-4.12,-3.37,0.0,5
1019,TRXUSDT,AXSUSDT,0.0,-5.0,-3.37,0.01,5
1200,ZENUSDT,ONEUSDT,0.02,-3.74,-3.37,657.9,5
1201,ZENUSDT,OPUSDT,0.0,-4.87,-3.37,6.47,5
26,10000NFTUSDT,GLMRUSDT,0.0,-4.12,-3.37,0.01,5
1096,USDCUSDT,AUDIOUSDT,0.04,-3.46,-3.37,5.94,5
1098,USDCUSDT,CELRUSDT,0.04,-3.4,-3.37,83.08,5
19,10000NFTUSDT,EGLDUSDT,0.0,-4.23,-3.37,0.0,5
1099,USDCUSDT,CREAMUSDT,0.03,-3.5,-3.37,0.08,5
39,10000NFTUSDT,QTUMUSDT,0.01,-3.77,-3.37,0.0,5
647,SCUSDT,CRVUSDT,0.01,-3.89,-3.37,0.0,5
296,CKBUSDT,ALGOUSDT,0.0,-4.18,-3.37,0.01,5
442,INJUSDT,AAVEUSDT,0.0,-5.68,-3.37,0.02,5
778,SNXUSDT,ASTRUSDT,0.0,-4.65,-3.37,44.69,5
491,LTCUSDT,DYDXUSDT,0.04,-3.47,-3.37,59.84,5
782,SNXUSDT,BLZUSDT,0.01,-3.98,-3.37,32.01,5
463,LINAUSDT,ALICEUSDT,0.0,-5.08,-3.37,0.0,5
800,SNXUSDT,FLOWUSDT,0.03,-3.57,-3.37,2.12,5
803,SNXUSDT,GMTUSDT,0.01,-4.05,-3.37,5.01,5
444,IOSTUSDT,1000BTTUSDT,0.0,-5.06,-3.37,12.29,5
830,SOLUSDT,GMTUSDT,0.0,-5.38,-3.37,49.28,5
521,PAXGUSDT,AGLDUSDT,0.03,-3.58,-3.37,6368.79,5
